"","","Spice and Wolf","","03/03/2026","08/03/2026","","","","","","","","","","","","","","","","","","","","",""
"","","JoJo's Bizarre Adventure Part 3: Stardust Crusaders (Manga)","","01/03/2026","10/03/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Girls' Last Tour (Manga)","","12/03/2026","13/03/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Chainsaw Man (Manga) (Reread until Chapter 231)","","14/03/2026","17/03/2026","","","","","","","","","","","","","","","","","","","","",""
"","","My Little Pony: Friendship Is Magic - Season 2","","03/03/2026","19/03/2026","","","","","","","","","","","","","","","","","","","","",""
"","","One Battle After Another","","","21/03/2026","","","","","","","","","","","","","","","","","","","","",""
"","","The Good, the Bad and the Ugly","","","22/03/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Chainsaw Man (Manga)","","","24/03/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Jujutsu Kaisen: The Culling Game Part 1","","08/01/2026","27/03/2026","","","","","","","","","","","","","","","","","","","","",""
"","","JoJo's Bizarre Adventure Part 4: Diamond Is Unbreakable (Manga)","","14/03/2026","28/03/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Sousou no Frieren 2nd Season","","17/01/2026","28/03/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Neon Genesis Evangelion (Rewatch)","","23/03/2026","29/03/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Neon Genesis Evangelion: The End of Evangelion (Rewatch)","","","29/03/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Neon Genesis Evangelion: The End of Evangelion (Rewatch)","","","30/03/2026","this is intended, i rewatched it twice","","","","","","","","","","","","","","","","","","","",""
"","","Parasite","","","31/03/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Ichigo Mashimaro (+ OVA & Encore)","","02/04/2026","03/04/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Don't Toy With Me, Miss Nagatoro (Manga)","","29/03/2026","05/04/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Everything Everywhere All at Once","","","07/04/2026","","","","","","","","","","","","","","","","","","","","",""
"","","OreImo - Season 1 (+ Specials)","","07/04/2026","09/04/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Three Days of Happiness (Light Novel)","","01/04/2026","11/04/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Umineko When They Cry (Answer Arcs)","","13/02/2026","13/04/2026","playtime: ~90h","","","","","","","","","","","","","","","","","","","",""
"","","Higurashi: When They Cry – Gou (Anime)","","13/04/2026","15/04/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Onani Master Kurosawa","","12/04/2026","15/04/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Higurashi: When They Cry – SOTSU","","16/04/2026","17/04/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Haibane Renmei","","18/04/2026","20/04/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Pragmata (Main Story + Unknown Signal)","","18/04/2026","22/04/2026","playtime: ~19.2h","","","","","","","","","","","","","","","","","","","",""
"","","Higurashi no Naku Koro ni: Onikakushi-hen (Manga)","","","22/04/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Higurashi no Naku Koro ni: Watanagashi-hen (Manga)","","","25/04/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Saya no Uta","","24/04/2026","27/04/2026","playtime: ~9.3h","","","","","","","","","","","","","","","","","","","",""
"","","Jujutsu Kaisen (Season 1) (Rewatch)","","29/04/2026","01/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Higurashi no Naku Koro ni: Tatarigoroshi-hen (Manga)","","01/05/2026","02/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Higurashi no Naku Koro ni: Himatsubushi-hen (Manga)","","","03/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Jujutsu Kaisen 0 (Rewatch)","","","04/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Higurashi no Naku Koro ni: Yoigoshi-hen (Manga)","","","04/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","I Want To Eat Your Pancreas (Light Novel)","","28/04/2026","05/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Jujutsu Kaisen 2nd Season (Rewatch)","","04/05/2026","09/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Jujutsu Kaisen: The Culling Game Part 1 (Rewatch)","","09/05/2026","10/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Kiss x Sis (OVA 2008)","","06/05/2026","10/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Hyouka (+ OVA)","","21/04/2026","11/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Little Witch Academia (2013) & The Enchanted Parade","","","12/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Shimeji Simulation","","07/05/2026","14/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Code Geass: Lelouch of the Rebellion (Rewatch) (+ Picture Drama)","","12/05/2026","15/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Girls Band Cry","","16/05/2026","17/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Higurashi no Naku Koro ni Kai: Meakashi-hen (Manga)","","16/05/2026","17/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","The Boys - Season 5","","08/04/2026","20/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Higurashi no Naku Koro ni Kai: Tsumihoroboshi-hen (Manga)","","19/05/2026","20/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Code Geass: Lelouch of the Rebellion R2 (Rewatch) (+ Picture Drama)","","18/05/2026","22/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Higurashi no Naku Koro ni Kai: Minagoroshi-hen (Manga)","","23/05/2026","24/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","OreImo 2 (+ Specials)","","18/05/2026","26/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Higurashi no Naku Koro ni Kai: Matsuribayashi-hen (Manga)","","24/05/2026","27/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Higurashi no Naku Koro ni: Kokoroiyashi-hen","","","27/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Higurashi no Naku Koro ni Rei: Saikoroshi-hen (Manga)","","","27/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Nausicaä of the Valley of the Wind (Movie)","","","29/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Alice's Adventures in Wonderland (Illustrated Novel)","","30/05/2026","31/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Yakuza 2 Restored (Main Story)","","02/06/2026","06/06/2026","playtime: 15.4h","","","","","","","","","","","","","","","","","","","",""
"","","Non Non Biyori (Season 1) (+ OVA)","","09/06/2026","13/06/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Non Non Biyori Repeat (+ OVA)","","15/06/2026","18/06/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Non Non Biyori Movie: Vacation","","","18/06/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Naruto (Manga)","","28/05/2026","22/06/2026","","","","","","","","","","","","","","","","","","","","",""
"","","The Amazing Digital Circus","","21/06/2026","23/06/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Deltarune - Chapter 5 (+ Secret Boss & Weird Route)","","24/06/2026","25/06/2026","playtime: ~8h","","","","","","","","","","","","","","","","","","","",""
"","","Aku no Hana (Manga)","","23/06/2026","25/06/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Non Non Biyori Nonstop (+ OVA)","","24/06/2026","27/06/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Hidamari Sketch (Season 1) (+ Specials)","","30/06/2026","02/07/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Deadman Wonderland (Manga)","","27/06/2026","03/07/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Tsukihime (2000 VN)","","29/05/2026","05/07/2026","playtime: ~60h","","","","","","","","","","","","","","","","","","","",""
"","","The Sopranos - Season 1","","06/07/2026","07/07/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Tsukihime PLUS-DISC","","","07/07/2026","","","","","","","","","","","","","","","","","","","","",""
"","","The Sopranos - Season 2","","07/07/2026","09/07/2026","","","","","","","","","","","","","","","","","","","","",""
"","","One Piece: Heroines","","","09/07/2026","","","","","","","","","","","","","","","","","","","","",""
"","","The Sopranos - Season 3","","09/07/2026","11/07/2026","","","","","","","","","","","","","","","","","","","","",""
"","","The Sopranos - Season 4","","11/07/2026","14/07/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Umineko When They Cry Episode 1: Legend of the Golden Witch (Manga)","","11/07/2026","14/07/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Umineko When They Cry Episode 2: Turn of the Golden Witch (Manga)","","15/07/2026","16/07/2026","","","","","","","","","","","","","","","","","","","","",""
"","","The Sopranos - Season 5","","14/07/2026","17/07/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Hidamari Sketch x 365 (+ Specials)","","13/07/2026","19/07/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Kagetsu Tohya 
(Main Story + Ciel's, Akiha's, Arcueid's, Kiri Nanaya's and Arihiko's Side Story)","","10/07/2026","19/07/2026","playtime: ~24h
(hover for note about side stories)","","","","","","","","","","","","","","","","","","","",""
"","","The Sopranos - Season 6","","19/07/2026","22/07/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Umineko When They Cry Episode 3: Banquet of the Golden Witch (Manga)","","21/07/2026","24/07/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Hidamari Sketch x ☆☆☆ (+ Specials) & Hidamari Sketch x SP","","23/07/2026","27/07/2026","","","","","","","","","","","","","","","","","","","","",""
"","","A Kite","","","28/07/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Perfect Blue","","","29/07/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Katanagatari (Anime)","","30/07/2026","03/08/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Umineko When They Cry Episode 4: Alliance of the Golden Witch (Manga)","","01/08/2026","03/08/2026","","","","","","","","","","","","","","","","","","","","",""
"","","REDLINE","","","04/08/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Pulp Fiction","","","05/08/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Ping Pong the Animation","","05/08/2026","06/08/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Hidamari Sketch x Honeycomb + Sae & Hiro Graduation","","03/08/2026","06/08/2026","","","","","","","","","","","","","","","","","","","","",""
"","","My Little Pony: Friendship Is Magic - Season 3","","21/03/2026","07/08/2026","","","","","","","","","","","","","","","","","","","","",""
"","","started but not finished:","","","","","","","","","","","","","","","","","","","","","","","",""
"","","sbr anime","","19/03/2026","","","","","","","","","","","","","","","","","","","","","",""
"","","one piece elbaph arc (anime)","","06/04/2026","","","","","","","","","","","","","","","","","","","","","",""
"","","re zero season 4","","08/04/2026","","","","","","","","","","","","","","","","","","","","","",""
"","","Kaisou Toshi Danpenshuu","","04/07/2026","","","","","","","","","","","","","","","","","","","","","",""
"","","Fate/stay night (VN)","","25/07/2026","","","","","","","","","","","","","","","","","","","","","",""
"","","Pokémon (Anime) (Indigo League)","","28/07/2026","","","","","","","","","","","","","","","","","","","","","",""
"","","Genshiken (Manga)","","07/08/2026","","","","","","","","","","","","","","","","","","","","","",""
"","","Fire Punch","","07/08/2026","","","","","","","","","","","","","","","","","","","","","",""
"","","(probably) dropped:","","","","","","","","","","","","","","","","","","","","","","","",""
"","","The Legend of Zelda: Majora's Mask","","29/09/2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Metal Gear Solid: Peace Walker (probably restarting when steam release)","","20/01/2026","","","","","","","","","","","","","","","","","","","","","",""
"","","EarthBound (probably dropped)","","23/04/2026","","","","","","","","","","","","","","","","","","","","","",""
"","","Mario & Luigi: Superstar Saga","","06/05/2026","","","","","","","","","","","","","","","","","","","","","",""
"","","Dorohedoro (Manga)","","17/12/2025","21/05/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Yakuza Powered by Nihon Touitsu (never watched the final episode)","","20/03/2026","","","","","","","","","","","","","","","","","","","","","",""
"","","JoJo's Bizarre Adventure Part 5: Golden Wind (Manga) 
(probably starting over after part 1-4 anime rewatch)","","16/04/2026","","","","","","","","","","","","","","","","","","","","","",""
"","","Grand Theft Auto: Liberty City Stories","","29/06/2026","16/07/2026","","","","","","","","","","","","","","","","","","","","",""
"","","The Tatami Galaxy","","06/05/2026","","","","","","","","","","","","","","","","","","","","","",""
"","","The Series of Haruhi Suzumiya (Nintendo DS Game)","","01/01/2026","","","","","","","","","","","","","","","","","","","","","",""
"","","Melty Blood Re-ACT (filtered by G-Akiha)","","20/07/2026","23/07/2026","","","","","","","","","","","","","","","","","","","","",""
