"","","","  tracking sheet 2026
  i put everything in here that seems major to me","","","update 10/05/2026: removed scores","","","","","","","","","","","","","","","","","","","",""
"","","full progress journal of everything in here w/ daily time/episode/chapter tracking etc.  tdk's awesome journal","","","","","","","","","","","","","","","","","","","","","","","",""
"","","title","","","","extra","","","","","","","","","","","","","","","","","","","",""
"","","Your Name (Rewatch)","","","01/01/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Stranger Things - Season 5","","28/11/2025","01/01/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Re:ZERO -Starting Life in Another World- Season 2 (Part 1 & 2)","","30/12/2025","06/01/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Re:ZERO -Starting Life in Another World- Season 3","","07/01/2026","10/01/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Sousou no Frieren (Rewatch)","","10/01/2026","15/01/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Kaguya-sama: Love Is War (Manga)","","26/12/2025","18/01/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Bokusatsu Tenshi Dokuro-chan 1 & 2","","","19/01/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Kaguya-sama: Love Is War - Stairway to Adulthood","","","20/01/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Tsukimonogatari (Rewatch)","","","20/01/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Touhou 6: The Embodiment of Scarlet Devil (Reimu A, Normal 1cc)","","13/01/2026","22/01/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Miss Kobayashi's Dragon Maid (+ Specials & OVA)","","21/01/2026","23/01/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Koyomimonogatari (Rewatch)","","24/01/2026","26/01/2026","","","","","","","","","","","","","","","","","","","","",""
"","","No Country for Old Men","","","29/01/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Owarimonogatari (Rewatch)","","27/01/2026","29/01/2026","","","","","","","","","","","","","","","","","","","","",""
"","","[Oshi no Ko] (Manga)","","19/01/2026","29/01/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Goodbye, Eri","","","30/01/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Whiplash","","","31/01/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Touhou 6: The Embodiment of Scarlet Devil (Reimu B, Normal 1cc)
(+ Touhou 4: Lotus Land Story - Reimu A, Normal 1cc)","","22/01/2026","31/01/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Schindler’s List","","","02/02/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Owarimonogatari 2nd Season (Rewatch)","","31/01/2026","02/02/2026","","","","","","","","","","","","","","","","","","","","",""
"","","The Prestige","","","04/02/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Zoku Owarimonogatari (Rewatch)","","03/02/2026","04/02/2026","","","","","","","","","","","","","","","","","","","","",""
"","","The Grand Budapest Hotel","","","05/02/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Blade Runner (1982)","","","07/02/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Oldboy","","","08/02/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Miss Kobayashi's Dragon Maid S (+ Specials & OVA)","","05/02/2026","09/02/2026","","","","","","","","","","","","","","","","","","","","",""
"","","The Godfather Part II","","","09/02/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Miss Kobayashi's Dragon Maid: A Lonely Dragon Wants to be Loved","","","10/02/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Yakuza 0 Replay (Hard Difficulty* without NG+)","","03/02/2026","11/02/2026","playtime: ~24h","","","","","","","","","","","","","","","","","","","",""
"","","Touhou 10: Mountain of Faith (Reimu A, Normal 1cc)","","04/11/2025","11/02/2026","","","","","","","","","","","","","","","","","","","","",""
"","","JoJo's Bizarre Adventure Part 1: Phantom Blood (Manga) (Reread)","","07/02/2026","12/02/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Monogatari Series: Off & Monster Season (Rewatch)","","10/02/2026","13/02/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Heat","","","16/02/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Toy Story","","","18/02/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Kaiji: Ultimate Survivor","","17/02/2026","21/02/2026","","","","","","","","","","","","","","","","","","","","",""
"","","JoJo's Bizarre Adventure Part 2: Battle Tendency (Manga)","","15/02/2026","22/02/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Kaiji: Against All Rules","","24/02/2026","26/02/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Touhou 8: Imperishable Night (Sakuya/Remilia, Normal - Final A 1cc)","","","26/02/2026","","","","","","","","","","","","","","","","","","","","",""
"","","JoJo's Bizarre Adventure (2012 Anime) (Rewatch)","","27/02/2026","01/03/2026","","","","","","","","","","","","","","","","","","","","",""
"","","My Little Pony: Friendship Is Magic - Season 1","","23/02/2026","01/03/2026","","","","","","","","","","","","","","","","","","","","",""
"","","Evangelion 30th Anniversary Special","","","07/03/2026","","","","","","","","","","","","","","","","","","","","",""
