"","","tracking sheet 2025
i put everything in here that seems major to me","","","","","","","","","","","","","","","","","","","","","","","",""
"","","The Coffin of Andy and Leyley: Remaining Endings & All Achievements","","10/04/2025","~8h","","","","","","","","","","","","","","","","","","","","",""
"","","The Super Mario Bros. Movie","","11/04/2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Nichijou","29/12/2024","13-Apr-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","The Melancholy of Haruhi Suzumiya - Season 1","13/04/2025","17-Apr-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Oyasumi Punpun","01/04/2025","19-Apr-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Serial Experiments Lain","18/04/2025","23-Apr-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Metal Gear Solid 2: Sons of Liberty","25/04/2025","28-Apr-2025","14.6h","","","","","","","","","","","","","","","","","","","","",""
"","","The Melancholy of Haruhi Suzumiya - Season 2","24/04/2025","30-Apr-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","The Disappearance of Haruhi Suzumiya","","1-May-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","THE RACE Staffel 2","24/03/2025","11-May-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Clair Obscur: Expedition 33","29/04/2025","12-May-2025","39h","","","","","","","","","","","","","","","","","","","","",""
"","","Monster","02/05/2025","22-May-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Mushoku Tensei: Jobless Reincarnation","22/05/2025","23-May-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Mushoku Tensei: Jobless Reincarnation Part 2 & Eris the Goblin Slayer Special Episode","24/05/2025","26-May-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Angel Beats! & Angel Beats! Specials","27/05/2025","28-May-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Mushoku Tensei: Jobless Reincarnation Season 2 & Episode 0 ""Guardian Fitz""","29/05/2025","30-May-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Metal Gear Solid 3: Snake Eater","14/05/2025","30-May-2025","14.5h","","","","","","","","","","","","","","","","","","","","",""
"","","Mushoku Tensei: Jobless Reincarnation Season 2 Part 2","31/05/2025","1-Jun-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Evangelion: 1.0 You Are (Not) Alone","","3-Jun-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Deltarune - Chapter 3","","05/06/2025","4.6h","","","","","","","","","","","","","","","","","","","","",""
"","","Toradora! (+ Bentou Battle Special Episode)","01/06/2025","05/06/2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Happy Sugar Life","06/06/2025","07/06/2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Deltarune - Chapter 4 (+ Secret Boss)","06/06/2025","07/06/2025","~6h","","","","","","","","","","","","","","","","","","","","",""
"","","Evangelion: 2.0 You Can (Not) Advance","","09/06/2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Deltarune - Chapter 1 Replay (+ Jevil)","","11/06/2025","~3.5h","","","","","","","","","","","","","","","","","","","","",""
"","","Made in Abyss","08/06/2025","12/06/2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Evangelion: 3.0 You Can (Not) Redo","","13/06/2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Metal Gear Solid: Portable Ops","09/06/2025","13/06/2025","~12.5h","","","","","","","","","","","","","","","","","","","","",""
"","","Made in Abyss: Dawn of the Deep Soul","","14-Jun-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Deltarune - Chapter 2 Replay (Snowgrave)","","15-Jun-2025","~3h","","","","","","","","","","","","","","","","","","","","",""
"","","Gushing over Magical Girls","13/06/2025","16-Jun-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Made in Abyss: The Golden City of the Scorching Sun","17/06/2025","19-Jun-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Love, Chunibyo & Other Delusions! (& Chuni-Shorts)","17/06/2025","20-Jun-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Evangelion: 3.0+1.0 Thrice Upon a Time","","21-Jun-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Deltarune - Chapter 3 Replay (+ Shadow Mantle & Roaring Knight)","","21-Jun-2025","~5h","","","","","","","","","","","","","","","","","","","","",""
"","","Deltarune - Chapter 4 Weird Route","","21-Jun-2025","~4.5h","","","","","","","","","","","","","","","","","","","","",""
"","","Love, Chunibyo & Other Delusions!: Sparkling... Slapstick Noel & Depth of Field: Love and Hate Theater","","22-Jun-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","K-On! (+ Live House! & Ura-On!)","22/06/2025","24-Jun-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","School Days","26/06/2025","27-Jun-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Squid Game - Season 3","29/06/2025","30-Jun-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Higurashi When They Cry - Matsuribayashi","08/04/2025","4-Jul-2025","37.3h","","","","","","","","","","","","","","","","","","","","",""
"","","Love, Chunibyo & Other Delusions!: Heart Throb 
(+ Heart Throb Lite Shorts, Heart Throb - The Rikka Wars, Heart Throb Specials)","05/07/2025","9-Jul-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Love, Chunibyo & Other Delusions!: Take On Me","","10-Jul-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Like a Dragon: Pirate Yakuza in Hawaii","04/07/2025","12-Jul-2025","~51.3h","","","","","","","","","","","","","","","","","","","","",""
"","","Hellsing Ultimate","14/07/2025","16-Jul-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Higurashi When They Cry Rei - Saikoroshi","07/07/2025","17-Jul-2025","~6h","","","","","","","","","","","","","","","","","","","","",""
"","","Bakemonogatari (Rewatch)","16/07/2025","18-Jul-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Kizumonogatari Trilogy (Rewatch)","","20-Jul-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Elfen Lied","20/07/2025","21-Jul-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Puella Magi Madoka Magica the Movie Part 1: Beginnings","","22-Jul-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Puella Magi Madoka Magica the Movie Part 2: Eternal","","23-Jul-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Puella Magi Madoka Magica the Movie: Rebellion (Rewatch)","","24-Jul-2025","","","","","","","","","","","","","","","","","","","","","",""
